,Unnamed: 0,Number,IncidentAddress,Street,Town,State,Zip,IncidentLatitude,IncidentLongitude,Coordinates,BlockGroup
132,341,2017-00000165,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)",515400006001002
133,579,2017-00000279,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)",515400006001002
134,695,2017-00000329,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)",515400006001002
135,1086,2017-00000524,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)",515400006001002
136,1245,2017-00000580,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)",515400006001002
137,1487,2017-00000692,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)",515400006001002
138,1493,2017-00000695,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)",515400006001002
139,348,2017-00000167,795 ALDERMAN Charlottesville VA 22903,795 ALDERMAN,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)",510030109022000
140,25375,2018-00000712,795 ALDERMAN Charlottesville VA 22903,795 ALDERMAN,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)",510030109022000
141,45598,2018-00010968,795 ALDERMAN Charlottesville VA 22903,795 ALDERMAN,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)",510030109022000
142,72582,2019-00011410,795 ALDERMAN Charlottesville VA 22903,795 ALDERMAN,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)",510030109022000
143,72801,2019-00011513,795 ALDERMAN Charlottesville VA 22903,795 ALDERMAN,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)",510030109022000
144,82006,2020-00003776,795 ALDERMAN Charlottesville VA 22903,795 ALDERMAN,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)",510030109022000
145,95917,2020-00010253,795 ALDERMAN Charlottesville VA 22903,795 ALDERMAN,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)",510030109022000
146,99191,2021-00001354,795 ALDERMAN 241 Charlottesville VA 22903,795 ALDERMAN 241,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)",510030109022000
147,100633,2021-00002044,795 ALDERMAN Charlottesville VA 22903,795 ALDERMAN,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)",510030109022000
148,352,2017-00000168,Emmett Street Charlottesville VA 22903,Emmett Street,Charlottesville,VA,22903,38.052757,-78.498902,"(38.052757, -78.498902)",515400007002007
149,357,2017-00000169,1451 AVON Charlottesville VA 22902,1451 AVON,Charlottesville,VA,22902,38.017338,-78.484499,"(38.017338, -78.484499)",515400004012021
150,367,2017-00000176,7 West PAVILION Charlottesville VA 22903,7 West PAVILION,Charlottesville,VA,22903,38.034659,-78.504561,"(38.034659, -78.504561)",510030109032007
151,14933,2017-00007537,7 West PAVILION Charlottesville VA 22903,7 West PAVILION,Charlottesville,VA,22903,38.034659,-78.504561,"(38.034659, -78.504561)",510030109032007
152,19193,2017-00009795,7 West PAVILION Charlottesville VA 22903,7 West PAVILION,Charlottesville,VA,22903,38.034659,-78.504561,"(38.034659, -78.504561)",510030109032007
153,20110,2017-00010238,7 West PAVILION Charlottesville VA 22903,7 West PAVILION,Charlottesville,VA,22903,38.034659,-78.504561,"(38.034659, -78.504561)",510030109032007
154,20217,2017-00010296,7 West PAVILION Charlottesville VA 22903,7 West PAVILION,Charlottesville,VA,22903,38.034659,-78.504561,"(38.034659, -78.504561)",510030109032007
155,37205,2018-00006957,7 West PAVILION Charlottesville VA 22903,7 West PAVILION,Charlottesville,VA,22903,38.034659,-78.504561,"(38.034659, -78.504561)",510030109032007
156,45045,2018-00010706,7 West PAVILION Charlottesville VA 22903,7 West PAVILION,Charlottesville,VA,22903,38.034659,-78.504561,"(38.034659, -78.504561)",510030109032007
157,53254,2019-00002375,7 West PAVILION Charlottesville VA 22903,7 West PAVILION,Charlottesville,VA,22903,38.034659,-78.504561,"(38.034659, -78.504561)",510030109032007
158,373,2017-00000180,WERTLAND Charlottesville VA 22903,WERTLAND,Charlottesville,VA,22903,38.033915,-78.494235,"(38.033915, -78.494235)",515400002021028
